ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
"From Today, t's My Turn",2018,2018,,46 mn,Acton, Comedy, Drama,"['Yu Ohta, ', 'Kento Kaku, ', 'Kentaro to, ', 'Nana Seno']",859,"In 1951 USSR, infamous killer doll Robert battles Stalin's henchmen on board a plane.",2.7
Ths s Not a Comedy,2021,2021,,105 mn,Comedy, Drama,,"['Rodrgo Guardola, ', 'Gabrel Nunco', '| ', '    Stars:', 'Gabrel Nunco, ', 'Cassandra Cangherott, ', 'Adrana Paz, ', 'Cecla Suárez']",351,,
My Beautful Broken Bran,2014,2014,TV14,86 mn,Documentary, Bography,,"['Sophe Robnson, ', 'Lotje Sodderland', '| ', '    Stars:', 'Davd Lynch, ', 'Sophe Robnson, ', 'Hente Sodderland, ', 'Jan Sodderland']","2,309","In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",6.7
Partcle Fever,2013,2013,Not Rated,99 mn,Documentary,,,"['Mark Levnson', '| ', '    Stars:', 'Davd Kaplan, ', 'Fabola Ganott, ', 'Sherwood Boehlert, ', 'Joel Hefley']","7,440","After an attack leaves him in limbo, invisible to the living and also near death, a teenager discovers the only person who might be able to help him is his attacker.",6.4
Anjaan: Specal Crmes Unt,2018,2018,,,Horror, Mystery, Thrller,"['Gashmeer Mahajan, ', 'Heena Parmar, ', 'Shahab Khan, ', 'Bobby Kumar']",329,"Crump's mission to raise the value of Black life as the civil lawyer for the families of George Floyd, Breonna Taylor, Black farmers and banking while Black victims, Crump challenges America to come to terms with what it owes his clients.",5.8
Saheb Bb Golaam,2016,2016,,121 mn,Acton, Crme, Drama,"['Pratm D. Gupta', '| ', '    Stars:', 'Damn Basu, ', 'Rtwck Chakraborty, ', 'Vkram Chatterjee, ', 'Avshek De Bswas']",675,"Follow a group of competitors, from around the globe, all service members who have suffered lifechanging injuries or illnesses, on their road to the Invictus Games The Hague",
Neverlake,2013,2013,,86 mn,Drama, Horror, Mystery,"['Rccardo Paolett', '| ', '    Stars:', 'Dasy Keepng, ', 'Davd Brandon, ', 'Joy Tanner, ', 'Martn Kashrokov']","2,356",Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Now they have to come up with the app.,4
Kartn: Prncess of Java,2017,2017,TVG,122 mn,Bography, Drama, Famly,"['Hanung Bramantyo', '| ', '    Stars:', 'Dan Sastrowardoyo, ', 'Ayushta, ', 'Acha Septrasa, ', 'Deddy Sutomo']",549,The world's most popular sport. The biggest event on earth. The most coveted trophy. Only 8 countries have ever won it. Never before has this been covered. This Series explores each of the ...                See full summary »,6.6
So Much Love to Gve,2020,2020,TV14,108 mn,Comedy,,,"['Marcos Carnevale', '| ', '    Stars:', 'Adrán Suar, ', 'Soledad Vllaml, ', 'Gabrela Toscano, ', 'Alan Sabbagh']","1,420",A vision of augmented reality.,4.3
Fghtworld,2018,2018,,40 mn,Documentary,,,"['Frank Grllo, ', 'Buakaw Banchamek, ', 'Julo Cesar Chavez, ', 'Kru Dam']",839,"In the cutthroat world of pro soccer, a club lives and dies by the stars on its under21 team. They are the future and lifeblood of any franchise, but most will never make it. 21 THUNDER is...                See full summary »",6
All Because of You,2020,2020,TV14,101 mn,Acton, Comedy, Romance,"['Adran Teh', '| ', '    Stars:', 'Harul Azreen, ', 'Janna Nck, ', 'Amerul Affend, ', 'Henley H']",222,"A former NCAA champion wrestler, paroled after ten years in prison, agrees to a series of cage fights to save a friend's life and is asked to do the impossible  lose.",5.6
The Trbe,2018,2018,TVMA,90 mn,Comedy, Famly,,"['Fernando Colomo', '| ', '    Stars:', 'Paco León, ', 'Carmen Mach, ', 'Marbel del Pno, ', 'María José Sarrate']","2,805",,
Percentage,2014,2014,Not Rated,86 mn,Acton, Crme, Drama,"['Alex Merkn', '| ', '    Stars:', ""Cam'ron, "", 'Omar Goodng, ', 'Vng Rhames, ', 'Macy Gray']","6,483","Creators, cast and network executives recount the strange history of the Dana Carvey Show, the irreverent prime time sketch comedy show that aired for eight episodes on ABC, following its star's meteoric run on Saturday Night Live.",7.7
Upcomng,2021,2021,,115 mn,Drama,,,"['Leste Chen', '| ', '    Stars:', 'Zfeng Zhang, ', 'Le Wu, ', 'Le Hao, ', 'Feng Zu']",535,Chhota Bheem is an Indian animated series adventures about a boy named Bheem and his friends in fictional village of Dholakpur.Bheem and his friends are usually involved in protecting the village from various evil forces.,4.3
NotreDame,2022,2022,,,Drama,,,"['Roschdy Zem, ', 'Carolne Proust, ', 'Megan Northam, ', 'Smon Abkaran']",,"When a journalist returns to the California farming community where she was raised, she discovers that it has been ravaged by drought and become a place ruled by gangs.",5.3
Ponystters Club,2017,20172018,TVY,22 mn,Famly,,,"['Morgan Neundorf, ', 'Calan Lane, ', 'Hugh Wlson, ', 'Madelne Leon']",117,,
,,,,,,,,,,"'Chief Daddy' tells the story of billionaire industrialist Chief Beecroft, a flamboyant benefactor to a large extended family of relatives, household staff, and assorted mistresses. Chief ...                See full summary »",4.7
The Crash Reel,2013,2013,,108 mn,Documentary, Bography, Sport,"['Lucy Walker', '| ', '    Stars:', 'Kevn Pearce, ', 'Shaun Whte, ', 'Mason Agurre, ', 'Danel Amen']","4,890","A humorous view on a changing Saudi, this season includes stories about a global media war, a longstanding tribal feud and a health craze gone too far.",8.1
Sara's Notebook,2018,2018,TVMA,115 mn,Adventure, Drama, Mystery,"['Norberto López Amado', '| ', '    Stars:', 'Belén Rueda, ', 'Maran Álvarez, ', 'ván Mendes, ', 'Manolo Cardona']","2,741",A Priest and a Vatican investigator take a possessed housewife to a convent to perform an Exorcism.,2.5
"To Each, Her Own",2018,2018,TVMA,95 mn,Comedy, Drama,,"['Myram Azza', '| ', '    Stars:', 'Sarah Stern, ', 'JeanChrstophe Folly, ', 'Jula Paton, ', 'Catherne Jacob']","1,805",A neurotic scientist tries to balance his love story with a famous top model with his obsession about the Laws of the Thermodynamics governing their relationship.,6
2:22,2008,2008,R,104 mn,Crme, Drama, Thrller,"['Phllp Guzman', '| ', '    Stars:', 'Mck Ross, ', 'Robert Mano, ', 'Aaron Gallagher, ', 'Jorge A. Jmenez']","1,431",,
Gpsy Queen,2019,2019,,117 mn,Drama, Sport,,"['Hüseyn Tabak', '| ', '    Stars:', 'Alna Serban, ', 'Tobas Morett, ', 'rna Kurbanova, ', 'Catrn Strebeck']",713,"A superstitious woman is told, by a fortune teller, that her sister will come out of coma if she spends the night with a man born in 1986. Later, she finds out that her boss, who is an ...                See full summary »",7
Yosemte,2015,2015,R,80 mn,Drama,,,"['Gabrelle Demeestere', '| ', '    Stars:', 'James Franco, ', 'Everett Meckler, ', 'Alec Mansky, ', 'Calum John']",889,,
Commandos,1968,1968,PG,98 mn,Acton, Drama, War,"['Armando Crspno', '| ', '    Stars:', 'Lee Van Cleef, ', 'Jack Kelly, ', 'Gampero Albertn, ', 'Marno Masé']",928,Expert bakers elevate desserts with nextlevel ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,6.8
Hector,2015,2015,,87 mn,Drama,,,"['Jake Gavn', '| ', '    Stars:', 'Peter Mullan, ', 'Keth Allen, ', 'Natale Gavn, ', 'Sharon Rooney']","1,727",The Pajanimals (a group of friendly animal puppets) sing songs to help children get ready for bed in a series of segments aired on Nick Jr. UK.,6.7
Kalush: The Story of Solomon Mahlangu,2016,2016,,107 mn,Bography, Drama, Thrller,"['Mandla Dube', '| ', '    Stars:', 'Thabo Ramets, ', 'Thabo Malema, ', 'Welle Nzuza, ', 'Jafta Mamabolo']",330,"Horse girl Special Week has moved from the country to the city to attend Tracen Academy. There, she and her classmates compete to win the Twinkle Series and earn the title of ""The County's #1 Horse Girl.""",6.8
Amongst Vultures,1964,1964,Approved,98 mn,Adventure, Western,,"['Alfred Vohrer', '| ', '    Stars:', 'Perre Brce, ', 'Götz George, ', 'Elke Sommer, ', 'Stewart Granger']","1,625",,
The Claus Famly,2020,2020,TVPG,96 mn,Comedy, Famly, Fantasy,"['Matthas Temmermans', '| ', '    Stars:', 'Jan Decler, ', 'Mo Bakker, ', 'Bracha van Doesburgh, ', 'Renée Soutendjk']","2,046","An untested global defence system triggers a swarm of devastating solar flares, resulting in catastrophic earthquakes and ferocious magnetic storms; an unprecedented CAT. 8 Armageddon. Can we stop the annihilation of the human race?",4.4
Akhrat: A Love Story,2021,2021,TV14,112 mn,Drama, Fantasy, Romance,"['Jason skandar', '| ', '    Stars:', 'Adpat Dolken, ', 'Della Dartyan, ', 'Verd Solaman, ', 'Wndy Apsar']",108,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.",6.9
We Lost Our Human,2023,2023,TVY7,103 mn,Anmaton, Short, Adventure,"['Curts Lelash', '| ', '    Stars:', 'Ayo Edebr, ', 'Ben Schwartz, ', 'Lauren Tom, ', 'Matty Cardarople']",,"This is a documentary drama series which follows a meerkat family in the Kalahari Desert, South Africa, called the Whiskers.",8.3
Joan Ddon: The Center Wll Not Hold,2017,2017,,94 mn,Documentary, Bography,,"['Grffn Dunne', '| ', '    Stars:', 'Hlton Als, ', 'Tom Brokaw, ', 'Dck Cheney, ', 'Jm Ddon']","2,689",,
Barbe & Chelsea the Lost Brthday,2021,2021 Vdeo,TVY,60 mn,Anmaton, Adventure, Famly,"['Cassandra Mackay', '| ', '    Stars:', 'Lala Berzns, ', 'Naka Burrse, ', 'Greg Chun, ', 'Jacob Craner']",223,Police Commissioner Dario Mauri investigates the activities of a drug ring led by Don Domenico Laurenzi.,5.9
La luna sangre,2017,20172018,,30 mn,Acton, Drama, Horror,"['Rchard Guterrez, ', 'Kathryn Bernardo, ', 'Danel Padlla, ', 'Mel Kmura']",170,"Each episode follows Jonathan as he meets with experts in various fields to uncover complexities in a wide range of subjects, from skyscrapers to bugs, or from gender identity to snacks.",6.9
The Creatve Bran,2019,2019,,52 mn,Documentary,,,"['Jennfer Beamsh, ', 'Toby Trackman', '| ', '    Stars:', 'Davd Eagleman, ', 'Mchelle Khne, ', 'Bjarke ngels, ', 'Nathan Myhrvold']",959,"A young overweight veterinarian falls for the owner of a dog she saves. The feelings might be mutual, but her insecurity gets in the way.",5.9
: The Rtual,2015,2015,,80 mn,Drama, Horror, Thrller,"['Pavel Khvaleev', '| ', '    Stars:', 'Polna Davydova, ', 'Lyubov gnatushko, ', 'Evgeny Gagarn, ', 'Andrey Abramchev']","1,801","The return of Sarah with his son, Dul, to Jakarta, welcomed happily by the Doel's family. But it also makes Zaenab, Sarah, and Doel confronted with decisive choice.",6.5
Attack of the Hollywood Clches!,2021,2021,TVMA,58 mn,Documentary, Comedy,,"['Sean Doherty, ', 'Rcky Kelehar, ', 'Alce Mathas', '| ', '    Stars:', 'Rob Lowe, ', 'Ande MacDowell, ', 'ra Madson , ', 'Anna Smth']","3,827",This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache.,7.2
Pororo the Lttle Pengun,2003,2003,TVY,,Anmaton, Famly,,"['Hwan Chn Km, ', 'Goo JaHyeong, ', 'M Ja Lee, ', 'Ham SooJeong']",95,"Along with her two friends, a determined woman travels to Vietnam to bring home the young girl her recently deceased daughter had planned to adopt.",6
Tdyng Up wth Mare Kondo,2019,2019,TVPG,40 mn,RealtyTV,,,"['Mare Kondo, ', 'Charlotte Herveux, ', 'Mare da, ', 'Rachel Frend']","3,638","Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.",5.3
The Sleepng Cty,1950,1950,Approved,86 mn,Crme, Drama, FlmNor,"['George Sherman', '| ', '    Stars:', 'Rchard Conte, ', 'Coleen Gray, ', 'Rchard Taber, ', 'John Alexander']",638,"When the Dutch initiates an aggression against Indonesia to regain its rule post World War II, a group of inexperienced cadets need to defend the last remaining airbase.",6.5
Flower Crew: Joseon Marrage Agency,2019,2019,,70 mn,Comedy, Hstory, Romance,"['MnJae Km, ', 'Gong SeungYeon, ', 'Seo JHoon, ', 'JHoon Park']",233,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.",7.5
Teletubbes,2022,2022,TVY,12 mn,Anmaton, Famly, Fantasy,"['Ttuss Burgess, ', 'Rebecca Hyland, ', 'Nck Kellngton, ', 'Jula Pulo']",,"During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat.",4.8
F*ck de lefde,2019,2019,,96 mn,Comedy, Romance,,"['Appe Boudellah, ', 'Lodewjk van Lelyveld', '| ', '    Stars:', 'Bo Maerten, ', 'Thjs Römer, ', 'Yolanthe Cabau, ', 'Maurts Delchot']",847,Five families with magical abilities secretly rid the world of dangerous threats.,
Quncy,2018,2018,TVMA,124 mn,Documentary, Bography,,"['Alan Hcks, ', 'Rashda Jones', '| ', '    Stars:', 'Quncy Jones, ', 'Rashda Jones, ', 'Kareem AbdulJabbar, ', 'Clarence Avant']","4,595","A successful, citybased construction manager finds herself reconsidering her cosmopolitan life choices when her employer relocates her to a folksy seaside town.",6.4
Toon,2016,2016,,25 mn,Comedy,,,"['Joep Vermolen, ', 'Amy van der Weerden, ', 'Loulou Hameleers, ', 'Robbert Blej']",907,"PuCCa is a broadcaster. When she applies for a new job, she meets a man.",5.4
Story Tme Book: ReadAlong,2022,2022,,,Anmaton,,,"['Llena Joy, ', 'Maya Aok Tuttle, ', 'Emly Wold, ', 'Lucy Capr']",16,A British documentary series exploring the extraordinary journey of Donald Trump through five decades.,7.2
Nokdu Flower,2019,2019,,,Drama,,,"['Jo JungSuk, ', 'Yer Han, ', 'Yoon ShYoon, ', 'Son WooHyun']",143,"Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his exwife (whom he still loves) and two kids.",6.9
End Game,2018,2018,TVPG,40 mn,Documentary, Short,,"['Rob Epsten, ', 'Jeffrey Fredman']","1,868",,
Dark Net,2016,20162017,TVMA,30 mn,Documentary,,,"['Lauren Terp, ', 'Krste, ', 'Drew, ', 'Ansha Vora']","1,500","The team of Queer Eye take their gorgeous, uplifting makeover skills to the Land of the Rising Sun.",8.2
ceman,2014,2014,R,104 mn,Acton, Comedy, Hstory,"['WngCheong Law', '| ', '    Stars:', 'Donne Yen, ', 'Baoqang Wang, ', 'Shengy Huang, ', 'Kang Yu']","3,626",Aoi will never forget how she felt the day her high school animation club's labor of love was shown at the cultural festival. The sense of awe and the feeling of accomplishment that came ...                See full summary »,8
Yes or No,2010,2010,,102 mn,Comedy, Romance,,"['Saratswadee Wongsomphet', '| ', '    Stars:', 'Sushar Manayng, ', 'Supanart Jttaleela, ', 'Arsara Thongborsut, ', 'Soranut Yupanun']","1,981","After defeating Dracula, Van Helsing is granted immortality by the church to pursue and eradicate vampires from the face of the earth. His hunt leads him to a bloody showdown between his slayers and an army of demons.",2
,,,,,,,,,,The story of Park Jin Sung who owns a latenight snack restaurant.,7.1
Ánmas,2018,2018,TVMA,83 mn,Horror, Thrller,,"['Laura Alvea, ', 'José Ortuño', '| ', '    Stars:', 'Ángela Molna, ', 'Chacha Huang, ', 'Lus Bermejo, ', 'ván Pellcer']","1,390","The Winx Club is struggling with a terrible mystery that will make your heart beat faster! The archenemies of the Winx Club, the Trix witches, team up with the evil nymph Politea and find ...                See full summary »",5.7
The Unknown Htman: The Story of El Cholo Adrían,2017,2017,,60 mn,Crme,,,"['Gullermo ván, ', 'Marco Urel, ', 'Jose Angel Bchr, ', 'Paty Blanco']",149,"Ask the Doctor addresses the latest in medical treatments and the future of health care as we know it. From how to treat the common cold to the future of genetics, our medical experts ...                See full summary »",6.5
The Photographer: Murder n Pnamar,2022,2022,,106 mn,Documentary, Crme,,"['Alejandro Hartmann', '| ', '    Stars:', 'José Lus Cabezas, ', 'Domngo Cavallo, ', 'Crstna Fernández de Krchner, ', 'Eduardo Duhalde']",557,"On the motorbike road trip of their dreams, buddies Rain and Ro Hongchul relax and unwind as they delight in tasty eats and scenic locales around Korea.",7.6
Joe Rogan: Strange Tmes,2018,2018,,63 mn,Comedy,,,"['Anthony Gordano', '| ', '    Star:', 'Joe Rogan']","4,418",Three brothers try to survive on the streets of a tough French suburb.,6.4
WSH YOU: Your Melody from My Heart,2020,2020,,10 mn,Short, Drama, Musc,"['Kang n Soo, ', 'Sang Lee, ', 'Kang Ye Na, ', 'Subn Park']",738,,
The Secret of Happness,2018,2018,,90 mn,Comedy, Drama,,"['Vlad Zamfrescu', '| ', '    Stars:', 'Theo Marton, ', 'rna Velcescu, ', 'Vlad Zamfrescu']",948,Six friends want to become popular by recording their adventures to be uploaded to social media accounts. They choose to go to the abandoned apartment and suddenly open a portal to the magical world and infuriate the portal guardian.,5
Knock Down the House,2019,2019,PG,87 mn,Documentary,,,"['Rachel Lears', '| ', '    Stars:', 'Alexandra OcasoCortez, ', 'Cor Bush, ', 'Joe Crowley, ', 'Paula Jean Swearengn']","12,582","Five best friends trying to do the right thing in heartlake city, whilst trying to figure out friendships and what's important along the way.",6
Brdegroom,2013,2013,R,80 mn,Documentary,,,"['Lnda BloodworthThomason', '| ', '    Stars:', 'Cndy Btney, ', 'Davd Crone, ', 'Jessca Mtchell, ', 'Lzzy Mohl']","4,535","Despite the bar's uninviting name, two sisters warmly welcome their patrons with tasty food and sake, just like their parents did before them.",7.8
